Symbol,financial_score,institutional_score,market_cap,profit_growth,sales_growth,roce,debt_to_equity,Type,Buy Date,Sell Date,PnL,PnL %
ANANDRATHI,61.2,10.0,25672.0,29.4,20.1,56.3,0.1,UNREALIZED,Held,Active,247171.40661029975,823.904688700999
APARINDS,65.9,10.0,29767.0,10.5,21.2,32.7,0.14,REALIZED,30-07-2021,28-01-2025,301501.84842883545,1005.0061614294515
APLAPOLLO,73.1,10.0,53881.0,79.9,14.0,22.4,0.16,UNREALIZED,Held,Active,6573.749307734912,21.912497692449705
ASTRAZEN,71.5,10.0,20660.0,79.6,35.1,33.4,0.04,UNREALIZED,Held,Active,45517.95892517869,151.72652975059563
BBTC,62.1,10.0,12675.0,-9.58,7.19,35.5,0.39,REALIZED,03-05-2023,27-02-2025,22645.49724321013,75.48499081070044
BLS,72.7,10.0,12443.0,44.1,41.6,33.6,0.19,REALIZED,30-07-2021,29-09-2025,230124.07602956702,767.08025343189
BSE,73.0,10.0,114398.0,118.0,55.4,46.6,0.0,REALIZED,22-07-2021,17-06-2022,12213.310210275311,40.711034034251036
BSE,73.0,10.0,114398.0,118.0,55.4,46.6,0.0,UNREALIZED,Held,Active,320517.4644243208,1068.3915480810692
CAPLIPOINT,71.8,10.0,13881.0,19.3,11.4,25.8,0.0,REALIZED,06-09-2021,24-02-2022,-6382.331902718166,-21.27443967572722
CAPLIPOINT,71.8,10.0,13881.0,19.3,11.4,25.8,0.0,REALIZED,01-08-2022,23-02-2023,-6043.51474466555,-20.145049148885168
CAPLIPOINT,71.8,10.0,13881.0,19.3,11.4,25.8,0.0,UNREALIZED,Held,Active,29292.186698580954,97.64062232860317
CGPOWER,67.9,10.0,88461.0,19.1,25.6,37.5,0.02,UNREALIZED,Held,Active,49990.82147774208,166.6360715924736
COFORGE,69.5,10.0,58039.0,39.2,43.1,20.3,0.14,REALIZED,04-08-2021,10-05-2022,-6823.955290232439,-22.74651763410813
COFORGE,69.5,10.0,58039.0,39.2,43.1,20.3,0.14,REALIZED,24-08-2023,09-05-2024,-6060.547038036675,-20.201823460122252
COFORGE,69.5,10.0,58039.0,39.2,43.1,20.3,0.14,UNREALIZED,Held,Active,-2089.182493806771,-6.96394164602257
COROMANDEL,67.1,10.0,68486.0,55.7,32.9,23.2,0.12,UNREALIZED,Held,Active,46235.33337040538,154.11777790135125
CRISIL,67.1,10.0,34722.0,11.9,6.61,35.6,0.11,UNREALIZED,Held,Active,13393.761748494602,44.64587249498201
DIVISLAB,82.3,10.0,165546.0,35.4,16.4,20.4,0.01,REALIZED,04-10-2021,24-01-2022,-6689.332848085505,-22.297776160285018
DIVISLAB,82.3,10.0,165546.0,35.4,16.4,20.4,0.01,UNREALIZED,Held,Active,3457.9233771230715,11.526411257076905
DIXON,68.5,10.0,65128.0,131.0,75.6,40.0,0.34,REALIZED,13-12-2023,29-12-2025,26545.825948033988,88.48608649344662
DOMS,67.9,10.0,15434.0,15.6,27.5,26.2,0.15,UNREALIZED,Held,Active,8041.796680389125,26.805988934630413
EMCURE,64.6,10.0,29545.0,40.5,16.4,20.7,0.35,UNREALIZED,Held,Active,4798.839889938274,15.996132966460912
ENGINERSIN,66.7,10.0,10520.0,45.2,19.5,25.0,0.01,REALIZED,04-10-2021,21-02-2022,-6030.437539632211,-20.101458465440704
ENGINERSIN,66.7,10.0,10520.0,45.2,19.5,25.0,0.01,REALIZED,06-09-2022,25-10-2024,42686.671318911365,142.2889043963712
FORCEMOT,60.6,10.0,27097.0,72.2,14.5,30.0,0.0,REALIZED,07-07-2021,14-02-2022,-6179.460733755712,-20.598202445852372
FORCEMOT,60.6,10.0,27097.0,72.2,14.5,30.0,0.0,UNREALIZED,Held,Active,38929.93842569479,129.76646141898263
GLAXO,61.9,10.0,39732.0,18.9,4.17,63.2,0.02,REALIZED,03-08-2021,04-11-2022,-6012.120491949378,-20.040401639831263
GRSE,81.5,10.0,27769.0,60.2,43.9,36.6,0.01,REALIZED,25-06-2021,22-08-2024,222024.46629887263,740.0815543295755
HAVELLS,61.1,10.0,89453.0,3.69,7.26,25.3,0.03,UNREALIZED,Held,Active,-2204.7409272078858,-7.349136424026286
HDFCAMC,66.6,10.0,111206.0,21.6,20.6,43.3,0.0,REALIZED,19-07-2021,20-12-2021,-6804.077199431867,-22.680257331439556
HDFCAMC,66.6,10.0,111206.0,21.6,20.6,43.3,0.0,REALIZED,20-06-2023,26-11-2025,8182.336453038148,27.274454843460493
HEXT,65.1,10.0,45124.0,32.9,14.6,29.5,0.1,UNREALIZED,Held,Active,-2555.0438458141443,-8.516812819380482
HSCL,79.1,10.0,23849.0,37.1,-3.17,22.0,0.21,REALIZED,03-02-2022,24-02-2022,-6412.386706948642,-21.374622356495472
HSCL,79.1,10.0,23849.0,37.1,-3.17,22.0,0.21,REALIZED,05-05-2023,14-02-2025,78725.36136662286,262.4178712220762
