Symbol,financial_score,institutional_score,market_cap,profit_growth,sales_growth,roce,debt_to_equity,Type,Buy Date,Sell Date,PnL,PnL %
HYUNDAI,74.7,10.0,190167.0,-3.7,-1.01,54.2,0.05,UNREALIZED,Held,Active,3035.628077628656,10.118760258762185
IEX,63.4,10.0,12420.0,17.2,13.1,53.6,0.0,REALIZED,03-09-2021,01-10-2021,4511.265646731572,15.037552155771907
IEX,63.4,10.0,12420.0,17.2,13.1,53.6,0.0,REALIZED,08-12-2023,24-07-2025,-4003.9292730844786,-13.346430910281596
IRCTC,70.3,10.0,50212.0,11.2,7.73,49.0,0.02,REALIZED,31-05-2023,28-02-2025,990.7621247113185,3.302540415704395
JBCHEPHARM,68.3,10.0,29826.0,17.8,9.47,25.8,0.01,UNREALIZED,Held,Active,34010.42134579104,113.36807115263679
KEI,70.7,10.0,41778.0,26.6,22.5,21.3,0.04,REALIZED,02-07-2021,27-02-2025,92318.67310176059,307.728910339202
LTIM,71.1,10.0,187025.0,4.63,8.72,27.6,0.1,REALIZED,14-07-2023,07-04-2025,-6102.079283736821,-20.340264279122735
MARICO,62.6,10.0,98674.0,4.91,22.6,45.2,0.14,UNREALIZED,Held,Active,12237.323085575024,40.79107695191675
MAZDOCK,64.6,10.0,98707.0,-9.22,12.2,43.2,0.0,UNREALIZED,Held,Active,334039.78576893645,1113.4659525631214
MSUMI,70.7,10.0,30075.0,-7.1,13.6,42.5,0.14,REALIZED,20-09-2022,22-02-2023,-6156.421908634302,-20.521406362114337
MSUMI,70.7,10.0,30075.0,-7.1,13.6,42.5,0.14,REALIZED,23-05-2023,28-02-2025,-4889.126369222549,-16.297087897408495
NATIONALUM,64.6,10.0,66413.0,119.0,30.8,44.0,0.0,REALIZED,19-12-2023,07-04-2025,8532.623169107854,28.442077230359512
NBCC,62.2,10.0,28004.0,20.4,15.8,33.2,0.0,REALIZED,11-06-2021,18-08-2021,-6087.194954757334,-20.290649849191116
NBCC,62.2,10.0,28004.0,20.4,15.8,33.2,0.0,REALIZED,11-06-2024,13-01-2025,-7316.792796244848,-24.38930932081616
NESTLEIND,63.1,10.0,253747.0,-5.73,6.25,95.7,0.1,UNREALIZED,Held,Active,-1064.3564356435631,-3.5478547854785436
NETWEB,75.1,10.0,18964.0,76.4,82.4,32.4,0.03,UNREALIZED,Held,Active,7479.520360916538,24.93173453638846
NEWGEN,78.7,10.0,10672.0,12.8,11.5,28.0,0.03,REALIZED,11-01-2022,22-02-2022,-6137.888198757763,-20.459627329192546
NEWGEN,78.7,10.0,10672.0,12.8,11.5,28.0,0.03,REALIZED,03-05-2023,27-01-2025,85296.10644563205,284.32035481877347
NMDC,68.3,10.0,72744.0,11.8,20.0,29.6,0.11,REALIZED,04-03-2024,10-01-2025,-6365.908522869281,-21.219695076230938
PERSISTENT,84.3,10.0,101007.0,35.1,23.3,30.4,0.06,UNREALIZED,Held,Active,29297.430913414817,97.65810304471606
PFIZER,63.1,10.0,21780.0,15.5,6.13,21.6,0.01,UNREALIZED,Held,Active,5182.732886969219,17.275776289897397
PGHH,65.4,10.0,39751.0,22.2,2.95,104.0,0.0,REALIZED,08-12-2021,20-01-2026,-6015.855961668079,-20.05285320556026
SCHAEFFLER,79.5,10.0,59952.0,17.8,12.6,25.7,0.01,REALIZED,22-07-2021,01-10-2021,7853.719399389063,26.179064664630207
SCHAEFFLER,79.5,10.0,59952.0,17.8,12.6,25.7,0.01,UNREALIZED,Held,Active,-4898.9178956225005,-16.32972631874167
SOLARINDS,64.2,10.0,116144.0,30.7,30.1,38.1,0.17,UNREALIZED,Held,Active,163127.64050697733,543.7588016899244
SUZLON,81.5,10.0,65905.0,222.0,74.7,32.5,0.05,REALIZED,04-01-2022,26-05-2022,-6911.764705882352,-23.03921568627451
SUZLON,81.5,10.0,65905.0,222.0,74.7,32.5,0.05,REALIZED,01-06-2023,27-01-2025,105147.98206278025,350.4932735426009
TORNTPHARM,80.1,10.0,135994.0,24.5,9.11,27.0,0.33,UNREALIZED,Held,Active,37317.444219066936,124.39148073022312
TRITURBINE,67.5,10.0,15987.0,8.54,3.49,41.4,0.03,REALIZED,16-08-2021,27-02-2025,91343.11076804322,304.4770358934774
VBL,63.6,10.0,169235.0,16.9,11.5,24.8,0.12,UNREALIZED,Held,Active,27851.570314062814,92.8385677135427
ZENSARTECH,69.1,10.0,16264.0,7.99,9.16,21.3,0.03,REALIZED,15-06-2021,22-02-2022,3481.7880794702,11.605960264900666
ZENSARTECH,69.1,10.0,16264.0,7.99,9.16,21.3,0.03,UNREALIZED,Held,Active,31591.07066685626,105.30356888952086
ZENTEC,71.5,10.0,11994.0,21.6,9.71,37.2,0.01,REALIZED,02-07-2021,20-08-2021,-6096.579476861168,-20.321931589537225
ZENTEC,71.5,10.0,11994.0,21.6,9.71,37.2,0.01,REALIZED,30-08-2022,28-01-2025,197819.65648854963,659.3988549618321
ZYDUSLIFE,67.7,10.0,87351.0,17.6,14.0,24.3,0.38,UNREALIZED,Held,Active,25458.860759493673,84.86286919831224
